level,target,selected_model_name,reliability,beats_naive,holdout_guard_applied,cv_mape,naive_holdout_mape,MAE,RMSE,MAPE_percent,R2
daily,energy_consumption,XGBoost_log,high,True,False,7.823285145620877,6.500377669921516,54375.50586748634,73551.26453722222,5.822815364235026,0.542897640409658
daily,renewable_share,Ridge_Fourier_log,medium,True,False,21.456637660486336,14.561418130246636,6.479768509896431,8.931246926086926,14.222163593130032,0.2095124114055832
weekly,energy_consumption,SeasonalTrend,high,True,False,9.398925536343585,3.589822642710804,226419.7771258325,342679.4151734241,3.589822642710804,0.7119773946236359
weekly,renewable_share,SeasonalTrend,medium,True,True,24.221367373343895,12.293105899612693,5.624328116215078,7.999153773407429,12.293105899612693,0.186243723489393
monthly,energy_consumption,SeasonalTrend,high,True,False,8.823019910756171,3.4117735103757214,970622.1105953312,1243829.966544169,3.4117735103757214,0.7980915357664308
monthly,renewable_share,SeasonalTrend,medium,True,True,22.474066095634342,10.195173567092498,4.607161793395481,6.70822056295392,10.195173567092498,0.3185750185140588
